filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00007.wav,0.307954803,0.131822184,1451.667066,1577.270941,2954.83676,0.061442246,-179.3471491,136.4690133,-26.67313461,39.98424445,5.304418544,10.92861028,-20.56482722,8.511155696,-11.35724909,-3.468347023,-8.419936971,-6.949715896,-3.539138585,-8.041617638,-8.960675042,-8.426084005,-10.56893646,-10.78451557,-4.690677377,-8.63072249,blues
blues.00055.wav,0.432936543,0.157741651,2032.001859,1976.383235,4023.56144,0.113119245,-98.74344634,104.7936492,-35.0982519,60.70181131,-2.833249864,22.23449532,-7.83117179,19.03585052,-11.57360303,17.01851834,-5.376152409,12.20096902,-9.95636647,0.353348012,-4.268688629,6.133698634,-4.822604997,1.500581649,-1.493840462,3.509201356,blues
blues.00070.wav,0.322809223,0.106136858,2159.392,2130.224381,4684.529188,0.098347699,-133.0159708,105.73445,-22.14999929,41.83110309,-26.9845774,19.11587609,-26.56251613,19.2307625,-15.33801199,6.986510953,-10.80867205,6.796416508,-11.72524634,4.393897665,-6.027783134,1.961995577,-12.30911713,3.256354851,-8.80463893,-3.37186668,blues
blues.00001.wav,0.340913562,0.09594781,1530.176679,2039.036516,3550.522098,0.056039809,-207.501685,123.9912585,8.955128384,35.87764681,2.907320722,21.51046711,-8.560436525,23.37068584,-10.09966052,11.90049675,-5.555638115,5.37632652,-2.231760011,4.220139939,-6.012148724,0.92799653,-0.731124375,0.295072259,-0.283517946,0.531215872,blues
blues.00064.wav,0.332649994,0.117432423,2553.361183,2280.26617,5148.3757,0.146832932,-85.10876619,88.79970617,-16.31286137,59.22677117,-35.97644886,14.3888409,-22.29479969,9.654230819,-14.81846059,11.17513368,-14.7997171,8.472940624,-19.58527608,6.412784836,-13.77569954,6.113825695,-13.14797801,3.931494246,-7.612430229,3.752392694,blues
blues.00098.wav,0.4429657,0.125455424,2310.49824,2206.581011,4829.324574,0.128432319,-90.64326362,100.0911756,-23.9290419,52.59300666,-20.92109586,31.49198279,-11.21568282,20.07836171,-10.89381172,17.55139089,-14.08979665,12.98485624,-11.42914656,2.919419768,-12.01396706,4.809921466,-11.14745436,1.159216525,-3.912874329,3.235769068,blues
blues.00015.wav,0.269690416,0.080624022,1420.365165,1731.164281,2929.964495,0.063701255,-238.5155529,120.1101772,-4.229359523,42.29070119,5.928562972,13.91726882,5.357867186,1.895557926,-16.93667795,12.35062189,3.945979506,-1.393584376,0.019284934,3.588397245,-4.500910259,-5.540558814,-6.887469481,-4.823252006,1.747366791,-1.882197173,blues
blues.00025.wav,0.290959756,0.089215219,1109.352784,1463.217702,2243.341758,0.051697391,-249.2845576,131.0046973,0.671433626,66.70394509,17.91480159,4.621687894,6.613104113,1.24252245,1.412566651,-1.589807734,-0.981921728,-3.57579077,-2.926955325,4.60067575,7.480606248,-0.187532807,-2.823468895,-2.675381327,0.740614067,-0.530983267,blues
blues.00020.wav,0.302611605,0.075474493,1390.301558,1911.31458,3006.171716,0.052586342,-230.3576556,127.078335,7.123446619,39.77490072,1.921049309,17.41178126,-5.619415304,8.249393917,-18.11688976,13.83506517,-3.769931974,2.572018775,-4.318346192,6.806376348,-6.167101951,-6.198750429,-4.500183997,-1.822338848,-0.517100141,1.509917218,blues
blues.00038.wav,0.265888089,0.168083832,1514.100673,2141.012234,3451.915683,0.044373172,-192.6574702,111.1571093,21.36100685,26.39940566,-0.644347461,23.49151407,-25.46989602,16.92310372,-16.9756497,5.775643116,-25.73842161,-5.051983997,-17.62748924,-7.916775374,-15.15512148,-12.3561393,-17.23472845,-7.778678294,-13.03093665,-17.93117018,blues
